index,year,month,day,big_endian_date,little_endian_date,us_date,title,authors,first_author,second_author,pseudonym_of
3954,2007,6,24,2007-6-24,24/6/2007,6/24/2007,A Thousand Splendid Suns,Khaled Hosseini,Khaled Hosseini,,
3955,2007,7,1,2007-7-1,1/7/2007,7/1/2007,A Thousand Splendid Suns,Khaled Hosseini,Khaled Hosseini,,
3956,2007,7,8,2007-7-8,8/7/2007,7/8/2007,Lean Mean Thirteen,Janet Evanovich,Janet Evanovich,,
3957,2007,7,15,2007-7-15,15/7/2007,7/15/2007,A Thousand Splendid Suns,Khaled Hosseini,Khaled Hosseini,,
3958,2007,7,22,2007-7-22,22/7/2007,7/22/2007,The Quickie,James Patterson and Michael Ledwidge,James Patterson,Michael Ledwidge,
3959,2007,7,29,2007-7-29,29/7/2007,7/29/2007,The Quickie,James Patterson and Michael Ledwidge,James Patterson,Michael Ledwidge,
3960,2007,8,5,2007-8-5,5/8/2007,8/5/2007,A Thousand Splendid Suns,Khaled Hosseini,Khaled Hosseini,,
3961,2007,8,12,2007-8-12,12/8/2007,8/12/2007,A Thousand Splendid Suns,Khaled Hosseini,Khaled Hosseini,,
3962,2007,8,19,2007-8-19,19/8/2007,8/19/2007,A Thousand Splendid Suns,Khaled Hosseini,Khaled Hosseini,,
3963,2007,8,26,2007-8-26,26/8/2007,8/26/2007,A Thousand Splendid Suns,Khaled Hosseini,Khaled Hosseini,,
